danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,label,row_index,genre_phase
0.721,0.769,7.0,-4.111,1.0,0.105,0.0922,0.0,0.0817,0.915,155.932,4.0,187107.0,0,0,9501,3
0.561,0.515,5.0,-6.226,1.0,0.0527,0.419,1.2e-05,0.109,0.503,100.268,4.0,232800.0,0,0,9502,3
0.555,0.213,8.0,-9.262,1.0,0.0449,0.939,5.33e-05,0.113,0.498,125.126,4.0,158413.0,0,0,9503,3
0.635,0.731,10.0,-5.703,1.0,0.06,0.163,7.61e-06,0.0874,0.611,187.997,4.0,238346.0,0,0,9504,3
0.677,0.573,10.0,-7.982,0.0,0.047,0.317,0.0,0.291,0.282,107.059,4.0,291283.0,1,0,9505,3
0.833,0.652,11.0,-6.942,1.0,0.0762,0.00161,0.0985,0.106,0.405,158.022,4.0,135053.0,1,0,9506,3
0.904,0.688,2.0,-7.44,0.0,0.238,0.218,0.0,0.0647,0.646,97.972,4.0,182366.0,0,0,9507,3
0.752,0.92,2.0,-6.111,1.0,0.0649,0.0148,2.03e-05,0.116,0.744,114.16,4.0,238266.0,0,0,9508,3
0.721,0.714,11.0,-5.436,0.0,0.234,0.107,0.0,0.562,0.506,94.002,4.0,205773.0,1,0,9509,3
0.817,0.67,1.0,-6.534,1.0,0.0506,0.123,1.92e-06,0.128,0.495,130.058,3.0,208615.0,0,1,9510,3
0.625,0.891,7.0,-9.239,1.0,0.0483,0.0175,0.000112,0.199,0.805,168.451,4.0,158906.0,0,0,9511,3
0.741,0.787,5.0,-6.228,1.0,0.0525,0.217,0.0179,0.0835,0.771,91.993,4.0,255680.0,0,0,9512,3
0.519,0.685,9.0,-7.171,1.0,0.0955,0.373,0.0,0.0629,0.745,115.929,4.0,78184.0,0,0,9513,3
0.299,0.377,0.0,-7.425,1.0,0.0283,0.859,0.0,0.116,0.378,69.272,4.0,124013.0,0,0,9514,3
0.765,0.534,2.0,-6.867,1.0,0.101,0.258,4.82e-06,0.102,0.512,143.865,4.0,381045.0,0,0,9515,3
0.658,0.603,2.0,-6.552,0.0,0.0676,0.472,0.0,0.124,0.519,146.864,4.0,153210.0,0,1,9516,3
0.807,0.803,11.0,-4.156,1.0,0.126,0.6,0.0085,0.136,0.706,91.982,4.0,258799.0,0,0,9517,3
0.609,0.72,0.0,-5.564,0.0,0.35,0.111,0.0,0.121,0.472,184.094,4.0,189130.0,1,0,9518,3
0.652,0.66,1.0,-5.319,1.0,0.0364,0.000724,0.000963,0.134,0.255,104.991,3.0,180247.0,1,0,9519,3
0.812,0.855,7.0,-3.725,1.0,0.0554,0.0789,0.000167,0.108,0.573,90.04,4.0,192477.0,1,0,9520,3
